Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
FULTON-09D,840,980,1,19,17,0,1,2,0,3,5,0,1,1,0,13,7,0,129,90,3,2112,2076,1854,36,87.78
FULTON-09E,896,1207,3,162,106,0,10,7,0,13,8,0,1,0,0,11,17,0,168,167,5,2781,2513,2173,268,78.14
FULTON-09F,206,289,0,1157,1441,5,41,47,0,29,42,0,0,0,0,27,36,0,257,292,2,3871,1268,717,2603,18.52
FULTON-09G,296,409,3,935,896,3,54,50,0,48,53,0,1,2,0,31,50,0,266,276,7,3380,1546,997,1834,29.5
FULTON-09H,169,187,1,291,197,2,17,23,1,16,16,0,0,0,0,8,11,0,113,106,1,1159,669,449,490,38.74
FULTON-09I,630,640,0,28,18,0,0,1,0,4,2,1,1,0,0,13,7,0,107,80,3,1535,1489,1299,46,84.63
FULTON-09K,1679,2492,6,76,78,0,8,8,0,13,10,0,3,2,0,31,23,0,277,303,12,5021,4867,4275,154,85.14
FULTON-09M,244,329,0,565,556,0,15,19,0,22,25,0,0,0,0,22,11,0,174,165,4,2151,1030,687,1121,31.94
FULTON-10A,1086,1504,0,10,8,0,4,1,0,2,2,0,0,0,0,9,8,0,158,159,1,2952,2934,2616,18,88.62
FULTON-10B,1416,2044,3,29,25,0,1,3,0,5,7,0,0,1,0,19,19,0,175,234,8,3989,3935,3518,54,88.19
FULTON-10C,812,1571,4,6,10,0,1,0,0,1,0,0,1,2,0,10,24,0,109,146,2,2699,2683,2426,16,89.89
FULTON-10D,1639,2417,2,21,38,0,0,0,0,8,12,0,3,1,0,16,20,0,227,280,5,4689,4630,4118,59,87.82
FULTON-10E,332,510,1,7,6,0,1,1,0,3,4,0,0,0,0,4,4,0,68,56,4,1001,988,860,13,85.91
FULTON-10F,416,565,2,6,12,0,0,0,0,0,3,0,1,0,0,10,9,0,58,58,0,1140,1122,1006,18,88.25
FULTON-10G,497,668,0,6,6,0,2,1,0,1,3,0,0,0,0,4,13,0,48,61,0,1310,1298,1189,12,90.76
FULTON-10H1,164,206,0,6,2,0,0,0,0,1,2,0,0,0,0,2,0,0,26,22,2,433,425,375,8,86.61
FULTON-10H2,839,1308,1,23,24,0,8,3,0,5,7,0,1,0,0,9,6,1,108,146,5,2494,2447,2188,47,87.73
FULTON-10I,131,173,0,1,1,0,0,0,0,1,2,0,0,0,0,7,3,0,13,21,0,353,351,317,2,89.8
FULTON-10J,430,475,2,11,11,0,2,1,0,5,3,0,0,0,0,6,8,0,82,59,2,1097,1075,932,22,84.96
FULTON-10K,525,702,2,17,12,0,2,2,0,1,4,0,0,0,0,3,6,0,89,85,0,1450,1421,1247,29,86
FULTON-10M,1078,1184,0,57,62,0,2,2,0,5,8,0,2,1,0,17,13,1,156,130,4,2722,2603,2313,119,84.97
FULTON-10P,541,715,1,6,13,0,2,1,0,1,2,0,0,2,0,4,5,1,74,68,0,1436,1417,1275,19,88.79
FULTON-10R,272,462,0,5,3,0,0,0,0,5,1,0,0,0,0,5,5,0,29,44,0,831,823,750,8,90.25
FULTON-11B,1933,2671,2,36,34,1,8,1,0,5,7,0,2,1,0,16,27,0,258,259,3,5264,5193,4673,71,88.77
FULTON-11C,1094,1449,0,22,27,0,4,3,0,3,3,0,1,0,0,16,26,0,134,170,2,2954,2905,2599,49,87.98
FULTON-11E1,448,619,0,10,19,0,2,2,0,0,6,0,2,0,0,6,8,0,64,51,1,1238,1209,1093,29,88.29
FULTON-11E2,348,420,0,5,8,0,1,1,0,1,3,0,0,0,0,3,1,0,32,36,1,860,847,778,13,90.47
FULTON-11E3,1071,1671,3,45,34,0,8,9,0,14,24,0,1,1,0,17,34,0,171,227,5,3335,3256,2853,79,85.55
FULTON-11G,918,1279,6,29,50,0,0,3,0,6,4,0,2,3,0,15,14,0,130,128,7,2594,2515,2250,79,86.74
FULTON-11H,261,326,1,7,5,0,2,0,0,1,0,0,0,0,0,6,5,0,49,39,2,704,692,602,12,85.51
FULTON-11J,724,989,3,11,12,0,1,0,0,1,3,0,0,1,0,2,7,0,77,85,4,1920,1897,1731,23,90.16
FULTON-11K,730,885,0,29,25,0,1,2,0,4,2,0,0,0,0,9,9,0,80,113,3,1892,1838,1642,54,86.79
FULTON-11M,1170,1619,0,28,40,0,2,4,0,9,9,0,0,2,0,19,26,0,158,193,4,3283,3215,2860,68,87.12
FULTON-11N,842,1156,3,9,20,0,3,2,0,3,2,0,3,0,0,10,10,0,97,110,4,2274,2245,2034,29,89.45
FULTON-11P,625,1123,1,11,20,0,1,1,0,1,4,0,2,1,0,1,11,0,94,117,1,2014,1983,1771,31,87.93
FULTON-11R,758,1042,3,12,12,0,3,0,0,5,1,0,0,1,0,12,10,0,109,154,4,2126,2102,1835,24,86.31
FULTON-12A,1696,1982,5,326,292,0,6,14,0,16,12,0,1,3,0,31,37,0,330,291,7,5049,4431,3803,618,75.32
FULTON-12D,503,667,1,21,26,0,3,1,0,5,4,0,2,0,0,10,9,1,68,86,3,1410,1363,1206,47,85.53
FULTON-12E1,654,783,0,56,58,0,4,3,0,14,15,0,3,1,0,7,11,0,79,89,12,1789,1675,1495,114,83.57
FULTON-12F,401,465,0,35,34,0,0,0,0,9,9,0,1,0,0,7,7,0,58,62,1,1089,1020,899,69,82.55
FULTON-12G,335,390,0,32,21,0,5,2,1,7,5,1,0,0,0,3,2,0,51,33,1,889,836,751,53,84.48
FULTON-12H,1409,1903,8,37,57,0,9,7,0,12,15,1,0,2,0,16,21,0,173,228,3,3901,3807,3403,94,87.23
FULTON-12I,398,528,1,4,7,0,0,0,0,3,5,0,0,1,0,3,5,0,52,54,3,1064,1053,944,11,88.72
FULTON-12J,1028,1467,2,21,30,0,1,2,0,9,8,0,0,2,0,17,17,1,161,164,3,2933,2882,2554,51,87.08
FULTON-12K,1184,1339,3,190,167,1,17,20,0,16,19,1,6,1,0,17,24,0,234,200,6,3445,3087,2647,358,76.84
FULTON-12L,251,339,2,8,13,0,0,1,0,1,2,0,0,0,0,4,5,0,35,35,1,697,676,605,21,86.8
FULTON-12M,956,1350,2,27,28,0,3,1,0,9,10,1,3,2,0,7,9,0,129,155,4,2696,2641,2353,55,87.28
FULTON-12N,418,464,2,12,10,0,0,2,0,2,1,0,0,0,0,9,10,0,58,45,2,1035,1013,908,22,87.73
FULTON-12S,683,960,2,42,24,0,1,1,0,6,4,0,1,0,0,7,14,0,104,118,1,1968,1902,1679,66,85.32
FULTON-88888,76,47,0,11,7,0,6,5,0,1,2,0,0,0,0,2,1,0,4,1,1,164,146,140,18,85.37
FULTON-99999,1459,868,7,176,163,4,15,16,1,31,20,0,10,4,0,45,28,4,144,83,22,3100,2757,2508,343,80.9
FULTON-AP01A,62,105,0,724,756,2,84,76,0,12,7,0,0,1,0,19,25,0,163,160,6,2202,720,391,1482,17.76
FULTON-AP01B,69,98,0,245,274,2,19,15,0,12,15,0,0,0,0,8,14,0,90,91,0,952,431,250,521,26.26
FULTON-AP01C,100,114,1,823,780,2,71,74,0,32,33,0,0,0,0,14,33,0,164,146,1,2388,783,472,1605,19.77
FULTON-AP01D,53,92,1,248,267,0,16,17,1,13,19,0,1,1,0,6,10,0,79,79,3,906,391,230,515,25.39
FULTON-AP021,134,234,0,942,1116,0,58,58,0,32,38,0,3,1,0,17,27,0,198,217,3,3078,1020,602,2058,19.56
FULTON-AP022,109,181,0,639,834,1,42,57,1,34,56,0,0,0,0,18,25,0,124,224,5,2350,876,523,1474,22.26
FULTON-AP02B,11,22,0,114,194,0,5,6,0,2,8,0,0,0,0,3,0,0,23,55,0,443,135,57,308,12.87
FULTON-AP03,134,264,1,123,127,1,8,4,0,22,35,0,0,0,0,9,22,0,83,87,0,920,669,499,251,54.24
FULTON-AP04A,40,51,0,562,692,1,35,35,0,19,11,0,1,0,0,17,19,0,115,116,0,1714,459,228,1255,13.3
FULTON-AP04B,10,14,0,141,150,0,15,17,0,6,4,0,0,1,0,5,3,0,29,24,0,419,128,75,291,17.9
FULTON-AP05,136,171,0,1613,1659,2,167,179,0,46,52,0,3,2,0,54,53,1,288,319,5,4750,1476,864,3274,18.19
FULTON-AP06,32,30,0,743,766,0,28,25,0,19,18,0,0,1,0,4,12,0,118,110,5,1911,402,169,1509,8.84
FULTON-AP07A,154,259,1,952,1260,2,55,63,0,43,63,0,1,2,0,27,35,0,237,256,5,3415,1201,703,2214,20.59
FULTON-AP07B,44,57,1,517,550,0,57,44,1,22,33,1,0,0,0,18,10,0,116,100,2,1573,506,288,1067,18.31
FULTON-AP09A,199,273,0,1371,1435,2,190,177,1,59,63,1,3,4,0,53,63,1,316,344,10,4565,1757,1087,2808,23.81
FULTON-AP09B,49,70,0,205,210,1,58,59,0,7,14,0,0,1,0,21,14,0,77,82,0,868,452,293,416,33.76
FULTON-AP10,11,12,0,406,439,0,9,10,0,8,7,0,0,0,0,11,10,0,58,54,0,1035,190,78,845,7.54
FULTON-AP12A,66,87,0,142,213,0,16,16,0,17,32,0,0,0,0,4,9,0,57,75,0,734,379,247,355,33.65
FULTON-AP12B,85,137,0,167,165,0,32,26,0,14,13,0,2,1,0,7,8,0,75,101,0,833,501,325,332,39.02
FULTON-AP12C,76,97,0,397,489,0,11,11,0,11,17,0,0,1,0,8,14,0,96,131,0,1359,473,246,886,18.1
FULTON-AP13,131,156,0,764,862,3,151,161,2,43,36,0,1,1,0,41,34,0,182,228,0,2796,1167,757,1629,27.07
FULTON-AP14,84,100,0,1087,1128,1,108,125,2,30,25,1,1,2,0,38,38,2,203,191,0,3166,950,556,2216,17.56
FULTON-CH01,67,96,0,37,42,1,0,0,0,10,9,0,0,0,0,3,4,0,14,11,0,294,214,189,80,64.29
FULTON-CH02,81,77,0,119,121,0,0,0,0,0,1,0,0,1,0,1,3,0,24,22,0,450,210,164,240,36.44
FULTON-CH03,20,31,0,117,132,0,1,0,0,1,0,0,1,0,0,0,2,0,10,12,0,327,78,56,249,17.13
FULTON-CH04A,14,21,0,221,226,0,0,2,0,1,3,0,0,1,0,0,2,0,18,26,0,535,88,44,447,8.22
FULTON-CH05,11,8,0,179,172,0,0,0,0,1,0,0,0,0,0,0,0,0,11,12,0,394,43,20,351,5.08
FULTON-CP011,289,405,1,186,179,0,6,3,0,7,13,0,0,1,0,13,12,0,45,57,1,1218,853,750,365,61.58
FULTON-CP012,296,444,3,183,188,2,2,7,0,9,10,0,0,1,0,8,11,0,83,69,1,1317,944,791,373,60.06
FULTON-CP01B,95,111,0,74,91,0,4,3,0,11,8,0,1,0,0,0,4,0,18,29,0,449,284,237,165,52.78
FULTON-CP02,355,383,1,127,97,0,1,2,0,7,6,0,0,1,0,6,5,0,64,70,1,1126,902,767,224,68.12
FULTON-CP04,29,57,0,5,4,0,0,0,0,0,0,0,0,0,0,1,2,0,5,8,0,111,102,89,9,80.18
FULTON-CP051,694,809,1,37,41,0,7,3,0,8,10,0,0,1,0,13,13,0,75,63,3,1778,1700,1559,78,87.68
FULTON-CP05B,47,76,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0,7,8,0,146,142,127,4,86.99
FULTON-CP06A,274,275,0,5,11,0,4,3,0,6,4,0,0,0,0,7,4,0,26,24,2,645,629,577,16,89.46
FULTON-CP07A,579,741,0,13,22,0,1,0,0,3,2,0,1,0,0,4,17,0,81,76,2,1542,1507,1348,35,87.42
FULTON-CP081,176,275,0,3,3,0,1,3,0,0,2,0,1,0,0,0,2,0,22,21,1,510,504,460,6,90.2
FULTON-CP083,150,182,0,5,2,0,0,0,0,1,1,0,0,0,0,3,6,0,19,16,1,386,379,343,7,88.86
FULTON-CP08A,283,422,1,2,4,0,1,1,0,0,3,0,0,2,0,1,5,0,30,40,3,798,792,719,6,90.1
FULTON-EP01,1801,2233,2,529,477,2,6,11,0,70,85,0,2,1,0,47,46,0,320,264,9,5905,4897,4304,1008,72.89
FULTON-EP02,1784,2346,4,586,508,1,15,20,0,53,61,0,2,5,0,41,57,0,360,333,9,6185,5090,4388,1095,70.95
FULTON-EP03,2137,2749,2,222,220,1,9,14,0,47,83,0,1,0,0,33,32,0,285,291,4,6130,5687,5107,443,83.31
FULTON-EP04,2598,3663,6,108,98,0,17,15,0,26,38,0,4,3,0,28,52,0,350,387,12,7405,7199,6450,206,87.1
FULTON-FA01A,2522,3381,8,492,574,4,26,33,0,104,106,2,2,2,0,39,67,0,387,491,8,8248,7178,6292,1070,76.29
FULTON-FA01B,190,323,0,13,16,0,4,5,0,13,11,0,0,0,0,3,6,0,40,44,0,668,639,555,29,83.08
FULTON-HP01,686,756,0,605,613,0,61,38,0,64,75,2,1,0,0,31,40,1,189,180,1,3343,2125,1755,1218,52.5
FULTON-JC01,174,182,0,1190,1223,3,619,646,7,36,51,0,9,3,0,82,87,0,409,397,15,5133,2717,1896,2416,36.94
FULTON-JC02,86,141,2,464,575,0,187,190,1,31,28,0,0,4,0,19,20,0,178,212,5,2143,1104,709,1039,33.08
FULTON-JC03A,32,38,0,159,179,0,35,35,1,5,8,0,1,0,0,4,10,0,41,44,1,593,255,169,338,28.5
FULTON-JC03B,91,106,0,354,388,0,116,126,1,18,30,0,0,0,0,26,23,0,134,121,3,1537,795,537,742,34.94
FULTON-JC04A,152,178,0,1418,1500,1,197,195,0,42,43,0,0,2,0,63,65,0,278,290,6,4430,1511,937,2919,21.15
FULTON-JC04B,10,18,0,62,92,0,25,24,0,2,4,0,0,0,0,10,2,0,16,26,1,292,138,95,154,32.53
FULTON-JC05,121,152,1,633,719,2,126,129,0,28,44,0,0,1,0,25,26,0,168,170,5,2350,996,653,1354,27.79
FULTON-JC06,139,155,0,804,885,3,182,209,1,22,37,0,1,0,0,32,36,0,215,231,2,2954,1262,814,1692,27.56
FULTON-JC07,197,256,0,972,1085,1,460,461,5,45,63,0,1,4,0,59,59,0,356,350,10,4384,2326,1610,2058,36.72
FULTON-JC08,139,157,0,845,905,4,143,144,1,46,53,0,2,2,0,40,41,0,188,202,4,2916,1162,768,1754,26.34
FULTON-JC09,166,226,0,806,943,3,147,155,2,59,73,0,1,1,0,47,42,0,247,240,2,3160,1408,919,1752,29.08
FULTON-JC10,152,191,0,648,734,0,93,97,1,47,66,0,0,2,0,31,52,0,167,216,2,2499,1117,732,1382,29.29
FULTON-JC11,128,177,0,1106,1195,1,134,135,0,26,48,0,0,0,0,39,47,0,258,240,2,3536,1234,734,2302,20.76
FULTON-JC12,75,76,0,840,933,3,115,138,1,9,15,0,1,0,0,39,34,0,162,151,4,2596,820,503,1776,19.38
FULTON-JC13A,45,55,0,823,869,2,52,72,0,11,17,0,1,0,0,32,22,0,135,122,3,2261,567,307,1694,13.58
FULTON-JC13B,4,3,0,125,122,0,2,7,0,1,0,0,0,0,0,3,2,0,19,17,0,305,58,22,247,7.21
FULTON-JC14,55,76,0,857,949,3,153,136,2,18,17,0,1,2,0,32,29,0,172,198,4,2704,895,521,1809,19.27
FULTON-JC15,59,70,0,198,240,1,24,24,1,22,42,0,0,0,0,14,15,0,77,81,2,870,431,271,439,31.15
FULTON-JC16,83,104,0,855,1009,3,59,60,0,41,39,1,0,0,0,25,27,0,187,170,2,2665,798,439,1867,16.47
FULTON-JC18,81,91,1,1079,1143,2,58,73,0,16,18,0,2,0,0,33,33,0,176,167,2,2975,751,406,2224,13.65
FULTON-JC19,179,241,0,1220,1433,1,70,90,1,47,49,0,2,0,0,40,43,0,273,289,5,3983,1329,762,2654,19.13
FULTON-ML011,37,46,0,811,881,0,102,95,0,17,21,0,0,0,0,22,24,0,163,183,0,2402,710,364,1692,15.15
FULTON-ML012,9,7,0,204,208,0,1,6,0,5,11,1,0,0,0,2,1,0,32,37,1,525,113,43,412,8.19
FULTON-ML01B,2,2,0,32,37,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3,0,80,11,8,69,10
FULTON-ML021,29,35,0,698,729,0,16,17,0,17,16,0,1,0,0,12,8,0,126,129,1,1834,407,151,1427,8.23
FULTON-ML022,1,0,0,109,111,0,0,0,0,0,3,0,0,0,0,1,1,0,14,14,0,254,34,6,220,2.36
FULTON-ML023,23,23,0,561,616,1,14,18,0,7,7,0,0,1,0,8,13,0,97,96,2,1487,309,114,1178,7.67
FULTON-ML024,2,0,0,41,49,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5,0,105,15,5,90,4.76
FULTON-ML03,64,68,0,1576,1610,4,26,37,0,26,28,0,0,0,0,20,26,0,301,234,0,4020,830,295,3190,7.34
FULTON-ML04A,50,50,0,623,664,0,57,52,0,13,23,0,0,0,0,15,20,0,135,125,3,1830,543,280,1287,15.3
FULTON-ML04B,27,25,0,513,492,0,2,9,0,1,6,0,0,0,0,13,4,0,81,67,1,1241,236,87,1005,7.01
FULTON-ML04C,4,2,0,32,33,0,1,1,0,0,0,0,0,0,0,0,0,0,7,5,0,85,20,8,65,9.41
FULTON-ML05A,0,2,0,12,23,0,2,1,0,0,0,0,0,0,0,0,1,0,1,5,0,47,12,6,35,12.77
FULTON-ML05B,8,10,0,154,153,1,6,10,0,3,4,0,0,0,0,0,4,0,24,29,1,407,99,45,308,11.06
FULTON-ML05C,235,321,1,1262,1500,3,97,107,1,75,74,0,2,6,0,47,49,0,302,363,2,4447,1682,1015,2765,22.82
FULTON-ML06A,183,321,1,490,511,0,44,42,0,35,66,0,1,0,0,23,31,1,208,208,4,2169,1168,748,1001,34.49
FULTON-ML06B,192,303,0,703,881,2,91,97,0,73,76,2,2,0,0,38,52,1,234,258,5,3010,1424,927,1586,30.8
FULTON-ML071,2,0,0,40,44,0,1,0,0,3,1,0,0,0,0,2,2,0,9,6,0,110,26,11,84,10
FULTON-ML072,28,28,0,424,432,1,11,16,0,9,16,0,0,0,0,8,7,0,86,92,0,1158,301,123,857,10.62
FULTON-ML07A,15,14,0,280,296,0,5,1,0,7,13,0,0,0,0,6,4,0,44,48,0,733,157,65,576,8.87
FULTON-MP01,2,7,0,202,214,0,4,0,0,4,4,0,0,0,0,3,4,0,26,30,0,500,84,28,416,5.6
FULTON-PA01,651,948,2,288,416,0,2,4,0,38,44,0,1,2,0,17,16,0,93,108,2,2632,1928,1725,704,65.54
FULTON-RW01,122,146,0,1736,2125,3,53,58,0,30,45,0,1,1,0,31,42,0,259,322,1,4975,1111,529,3864,10.63
FULTON-RW02,104,139,0,1451,1565,1,50,59,0,37,45,0,3,2,0,43,48,0,270,292,4,4113,1096,530,3017,12.89
FULTON-RW03,320,566,1,1283,1428,2,42,51,1,74,106,0,2,1,0,37,57,0,327,355,2,4655,1942,1258,2713,27.02
FULTON-RW04,49,42,0,775,776,1,11,15,0,14,24,0,0,0,0,18,13,0,106,107,4,1955,403,186,1552,9.51
FULTON-RW05,257,364,1,508,544,0,33,37,1,62,93,0,2,2,0,26,36,0,189,204,1,2360,1308,914,1052,38.73
FULTON-RW06,136,210,1,1031,1109,4,18,31,0,36,45,0,2,1,0,28,27,0,230,222,5,3136,992,535,2144,17.06
FULTON-RW07A,285,453,0,162,196,0,7,8,0,56,73,1,0,0,0,22,32,0,165,166,3,1629,1271,937,358,57.52
FULTON-RW07B,43,41,0,84,71,1,7,12,0,41,38,0,0,0,0,3,6,0,23,46,2,418,262,191,156,45.69
FULTON-RW08,40,52,0,792,1109,1,18,17,0,22,28,0,0,0,0,23,19,0,132,141,3,2397,495,219,1902,9.14
FULTON-RW09,137,151,0,2477,2542,3,45,54,0,43,46,0,0,0,0,37,63,1,398,368,4,6369,1347,577,5022,9.06
FULTON-RW10,70,77,0,1330,1462,2,22,30,0,23,22,0,1,0,0,20,27,0,175,193,3,3457,663,292,2794,8.45
FULTON-RW11A,131,190,1,905,1055,1,17,26,0,34,39,0,0,0,0,20,27,0,187,194,2,2829,868,485,1961,17.14
FULTON-RW12,142,175,0,2205,2466,2,103,106,0,55,64,1,0,3,0,58,60,1,374,392,6,6213,1540,768,4673,12.36
FULTON-RW13,155,180,0,1300,1367,4,42,43,0,54,69,1,1,0,0,50,44,0,241,267,4,3822,1151,639,2671,16.72
FULTON-RW16,76,76,0,673,731,3,27,30,0,15,23,0,1,0,0,19,13,2,125,128,0,1942,535,282,1407,14.52
FULTON-RW17,209,279,0,845,1009,3,19,16,0,50,58,1,1,1,0,35,37,0,211,229,4,3007,1150,706,1857,23.48
FULTON-RW19,62,67,0,750,839,2,39,53,0,16,17,0,0,0,0,20,19,0,139,135,3,2161,570,293,1591,13.56
FULTON-RW20,108,144,0,905,987,0,40,43,0,13,20,0,0,1,0,24,34,0,179,183,3,2684,792,427,1892,15.91
FULTON-RW21,122,183,1,1212,1310,2,39,34,0,32,36,0,0,3,0,22,25,0,183,222,2,3428,904,497,2524,14.5
FULTON-RW22A,473,716,0,1018,1191,4,58,55,0,66,135,3,1,3,0,48,63,0,347,444,4,4629,2416,1621,2213,35.02
FULTON-SC01B,1526,1906,3,20,31,0,3,11,0,8,15,0,0,0,0,21,27,0,182,252,0,4005,3954,3520,51,87.89
FULTON-SC02,366,431,1,6,5,0,0,3,0,1,1,0,0,0,0,3,5,0,44,42,0,908,897,811,11,89.32
FULTON-SC04,222,244,1,161,190,0,1,1,0,9,6,0,0,3,0,5,6,0,51,47,0,947,596,498,351,52.59
FULTON-SC05A,222,356,0,6,8,0,1,1,0,0,4,0,0,0,0,1,1,0,24,30,1,655,641,586,14,89.47
FULTON-SC05B,1102,1589,1,53,57,0,3,4,0,10,17,0,0,0,0,12,26,0,160,224,5,3263,3153,2764,110,84.71
FULTON-SC05D,842,1189,4,74,104,0,6,8,0,6,10,0,0,1,0,18,17,0,122,162,3,2566,2388,2101,178,81.88
FULTON-SC07A,1656,2325,3,257,311,0,10,10,0,31,35,0,1,1,0,38,41,0,247,326,4,5296,4728,4151,568,78.38
FULTON-SC08B,1218,1670,3,47,52,1,2,4,0,12,11,0,0,1,0,15,22,0,148,146,7,3359,3259,2958,100,88.06
FULTON-SC08C,18,45,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,5,0,74,74,67,0,90.54
FULTON-SC08D,195,272,1,2,2,0,0,1,0,4,4,0,0,0,0,4,7,0,33,26,0,551,547,488,4,88.57
FULTON-SC08E,149,240,2,6,1,0,0,0,0,3,3,0,2,0,0,2,4,0,16,32,0,460,453,405,7,88.04
FULTON-SC08F,259,382,0,16,10,0,1,0,0,1,3,0,0,0,0,5,7,0,39,45,0,768,742,658,26,85.68
FULTON-SC08G,9,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18,13,12,5,66.67
FULTON-SC09A,1212,1746,2,32,33,0,11,13,0,7,16,0,2,2,0,18,26,0,153,176,5,3454,3389,3055,65,88.45
FULTON-SC09B,609,864,0,9,12,0,0,2,0,3,4,0,0,1,0,10,12,0,76,94,1,1697,1676,1505,21,88.69
FULTON-SC10,749,946,0,20,19,0,5,1,0,1,21,0,3,2,0,8,12,0,80,88,2,1957,1918,1748,39,89.32
FULTON-SC11A,522,770,1,11,12,0,3,3,0,0,2,1,0,1,0,14,6,0,68,68,1,1483,1460,1323,23,89.21
FULTON-SC11B,630,784,1,8,19,0,1,1,0,5,3,0,0,0,0,5,8,0,74,60,4,1603,1576,1438,27,89.71
FULTON-SC13,866,1146,3,65,79,0,2,3,0,14,14,1,1,0,0,7,15,0,105,158,2,2481,2337,2072,144,83.51
FULTON-SC14,543,597,0,24,16,0,4,5,0,4,6,0,0,1,0,10,18,0,80,80,3,1391,1351,1188,40,85.41
FULTON-SC15,2110,3001,5,88,120,0,11,9,0,21,30,0,0,5,1,26,51,0,323,420,5,6226,6018,5270,208,84.65
FULTON-SC16,1629,2275,3,25,27,0,2,2,0,8,13,0,0,0,0,13,31,0,217,267,3,4515,4463,3976,52,88.06
FULTON-SC17A,22,32,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,66,63,56,3,84.85
FULTON-SC17B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
FULTON-SC17C,424,630,0,14,25,0,1,1,0,4,5,0,0,0,0,6,12,0,47,50,1,1220,1181,1083,39,88.77
FULTON-SC18A,127,288,1,8,14,0,0,0,0,0,2,0,0,0,0,1,5,0,27,52,1,526,504,424,22,80.61
FULTON-SC18B,1743,2265,1,58,68,0,4,5,0,4,14,0,1,1,0,23,38,0,223,272,5,4725,4599,4099,126,86.75
FULTON-SC19A,76,83,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,11,0,182,177,162,5,89.01
FULTON-SC19B,558,702,1,19,21,0,1,1,0,7,2,0,1,1,0,3,5,0,62,63,1,1448,1408,1282,40,88.54
FULTON-SC211,360,586,2,16,25,0,1,0,0,1,11,0,0,0,0,7,10,0,67,95,0,1181,1140,978,41,82.81
FULTON-SC212,985,1493,2,85,86,0,10,5,0,32,31,0,1,1,0,16,29,0,157,234,2,3169,2998,2605,171,82.2
FULTON-SC23A,1911,2736,7,45,57,0,4,4,0,24,33,1,0,0,0,19,35,0,253,262,8,5399,5297,4774,102,88.42
FULTON-SC23B,185,230,0,8,12,0,0,0,0,3,2,0,0,0,0,4,3,0,22,28,1,498,478,427,20,85.74
FULTON-SC27,845,1136,3,21,25,0,5,2,0,2,9,0,0,0,0,11,18,0,101,83,0,2261,2215,2031,46,89.83
FULTON-SC29A,1092,1461,1,26,34,0,1,1,0,8,10,0,0,0,0,16,19,0,120,126,2,2917,2857,2609,60,89.44
FULTON-SC30A,45,84,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,8,10,0,153,152,134,1,87.58
FULTON-SC30B,402,591,2,6,12,0,1,0,0,0,4,0,1,1,0,8,8,0,46,85,1,1168,1150,1018,18,87.16
FULTON-SS01,52,68,0,1236,1276,1,30,21,0,19,30,0,1,0,0,27,23,1,175,173,3,3136,623,272,2513,8.67
FULTON-SS02A,88,133,0,394,417,2,3,6,0,13,12,0,0,0,0,6,10,0,99,96,3,1282,469,271,813,21.14
FULTON-SS02B,161,260,0,267,346,0,12,19,0,21,31,0,0,1,0,8,24,0,103,98,1,1352,739,537,613,39.72
FULTON-SS03,57,65,0,470,567,1,17,18,1,16,25,0,0,2,0,11,7,0,106,107,1,1471,433,219,1038,14.89
FULTON-SS04,329,471,1,794,976,3,43,58,0,54,63,0,2,3,0,36,54,1,268,309,5,3470,1697,1115,1773,32.13
FULTON-SS05,28,23,0,762,806,0,6,10,0,7,11,0,0,1,0,15,13,0,99,117,1,1899,331,114,1568,6
FULTON-SS06,12,21,0,560,599,2,8,8,1,10,7,0,0,0,0,7,9,0,66,79,0,1389,228,83,1161,5.98
FULTON-SS07A,16,19,0,302,505,0,9,6,0,5,3,0,1,0,0,5,7,0,51,74,1,1004,197,71,807,7.07
FULTON-SS07B,19,25,0,189,222,1,11,4,0,1,7,0,0,1,0,7,3,0,40,31,0,561,149,78,412,13.9
FULTON-SS07C,27,33,0,232,415,2,4,6,0,5,11,0,0,1,0,6,14,0,53,70,4,883,234,107,649,12.12
FULTON-SS08A,132,166,0,338,331,1,32,31,0,19,31,0,0,0,0,20,15,0,119,104,3,1342,672,446,670,33.23
FULTON-SS08B,37,23,0,226,275,0,5,5,0,9,6,0,0,0,0,5,5,0,44,41,0,681,180,95,501,13.95
FULTON-SS08C,52,60,0,169,198,0,13,19,0,8,11,0,0,1,0,6,15,0,42,67,0,661,294,185,367,27.99
FULTON-SS08D,119,142,0,332,415,0,20,17,0,22,22,0,1,2,0,11,15,2,85,96,1,1302,555,373,747,28.65
FULTON-SS09A,80,107,0,1175,1279,2,21,36,0,24,33,1,1,0,0,20,17,0,185,196,2,3179,723,340,2456,10.7
